"Date","Symbol","Series","Prev Close","Open","High","Low","Last","Close","VWAP","Volume","Turnover","Trades","Deliverable Volume","%Deliverble"
"2010-01-04","SBIN","EQ",2269,2275,2300,2275,2294,2291.2,2291.26,1103147,252759893465000,,313202,0.2839
"2010-01-05","SBIN","EQ",2291.2,2308,2310,2280.1,2294,2292.05,2292.78,1161374,266277567375000,,522468,0.4499
"2010-01-06","SBIN","EQ",2292.05,2297,2315,2285,2300,2305.8,2301.72,1452793,334392026900000,,577097,0.3972
"2010-01-07","SBIN","EQ",2305.8,2306,2310,2281.1,2292,2292.9,2291.86,857651,196561831070000,,333190,0.3885
"2010-01-08","SBIN","EQ",2292.9,2294,2303.9,2280.1,2287.7,2286.05,2289.08,1045382,239296085315000,,535343,0.5121
"2010-01-11","SBIN","EQ",2286.05,2297,2312.7,2263.25,2269.05,2267.2,2289.55,1414534,323863976095000,,659292,0.4661
"2010-01-12","SBIN","EQ",2267.2,2267,2270,2196.2,2198.7,2203.2,2220.23,2291772,508826271265000,,1236901,0.5397
"2010-01-13","SBIN","EQ",2203.2,2195,2195,2158.1,2173.9,2175.9,2173.21,2171969,472013411625000,,1139843,0.5248
"2010-01-14","SBIN","EQ",2175.9,2188,2199,2145.55,2165,2157.35,2175.73,2072399,450897443735000,,1202795,0.5804
"2010-01-15","SBIN","EQ",2157.35,2168,2178.4,2136.8,2144,2143.35,2152.01,2061192,443569625525000,,1022878,0.4963
"2010-01-18","SBIN","EQ",2143.35,2175,2183.05,2142.8,2161,2156.4,2163.85,1922217,415938591590000,,884791,0.4603
"2010-01-19","SBIN","EQ",2156.4,2169.8,2187,2157,2173,2173.1,2172.31,1227707,266696074455000,,393185,0.3203
"2010-01-20","SBIN","EQ",2173.1,2184,2186.6,2152.55,2160,2159.85,2167.43,1683072,364794783890000,,964355,0.573
"2010-01-21","SBIN","EQ",2159.85,2159,2161.3,2112.3,2122.7,2124.1,2139.75,1926547,412232522275000,,940255,0.4881
"2010-01-22","SBIN","EQ",2124.1,2100.15,2106.5,2053.05,2086,2087.35,2086.84,2719318,567478700105000,,1530277,0.5627
"2010-01-25","SBIN","EQ",2087.35,2055.55,2137,2055.55,2087.55,2091.6,2097.01,1537804,322479772085000,,714135,0.4644
"2010-01-27","SBIN","EQ",2091.6,2060,2068.4,1971.1,1976.05,1987.65,2003.15,3806891,762576467815000,,1958220,0.5144
"2010-01-28","SBIN","EQ",1987.65,2100,2100,1991,2010,2003.25,2016.67,2795246,563707590530000,,1316476,0.471
"2010-01-29","SBIN","EQ",2003.25,1990,2067.4,1955.05,2056,2056.6,2010.42,4648719,934587576080000,,1484108,0.3193
"2010-02-01","SBIN","EQ",2056.6,2148,2148,2015.5,2019.35,2021.25,2027.86,2204716,447086371570000,,980839,0.4449
"2010-02-02","SBIN","EQ",2021.25,2030.2,2045.2,1974.15,1977,1978.35,2000.02,2408626,481730837085000,,1059170,0.4397
"2010-02-03","SBIN","EQ",1978.35,1986.3,2015.9,1983.5,1995.5,1998.8,2000.19,3045071,609073284575000,,1623734,0.5332
"2010-02-04","SBIN","EQ",1998.8,1996,1996.7,1940,1948,1947.9,1961.86,3535712,693657783590000,,2054113,0.581
"2010-02-05","SBIN","EQ",1947.9,1930,1930,1863.1,1898,1897.8,1892.02,2687883,508553220085000,,1118868,0.4163
"2010-02-06","SBIN","EQ",1897.8,1910,1924.45,1898.25,1912.45,1912.45,1911.14,209862,40107616635000,,52291,0.2492
"2010-02-08","SBIN","EQ",1912.45,1900,1947.8,1883.65,1945,1936.55,1918.6,1888513,362330134370000,,383487,0.2031
"2010-02-09","SBIN","EQ",1936.55,1931,1958,1925,1950.1,1950.3,1945.05,1383698,269135634395000,,335547,0.2425
"2010-02-10","SBIN","EQ",1950.3,1970,1970,1895,1916.25,1911.85,1927.19,1973193,380270859745000,,722856,0.3663
"2010-02-11","SBIN","EQ",1911.85,1923.9,1940,1911,1919,1917.65,1924.78,1242794,239210145075000,,349542,0.2813
"2010-02-15","SBIN","EQ",1917.65,1925,1925,1886.3,1893,1895,1898.47,1332501,252971005760000,,367367,0.2757
"2010-02-16","SBIN","EQ",1895,1914,1925,1895,1923,1920.6,1910.51,807015,154181036915000,,120483,0.1493
"2010-02-17","SBIN","EQ",1920.6,1935,1962.5,1927.25,1955.35,1956.85,1945.47,1346836,262023178350000,,522132,0.3877
"2010-02-18","SBIN","EQ",1956.85,1957.9,1960,1927.3,1941.9,1942.4,1939.78,1310323,254173354080000,,479603,0.366
"2010-02-19","SBIN","EQ",1942.4,1925,1934,1890.05,1901.25,1905.3,1903.86,1586302,302010008190000,,649273,0.4093
"2010-02-22","SBIN","EQ",1905.3,1920,1935,1910.15,1912,1916.35,1923.49,1152865,221752487185000,,459293,0.3984
"2010-02-23","SBIN","EQ",1916.35,1914.9,1934.5,1906.6,1909.5,1911.9,1921.06,1062577,204127731400000,,414876,0.3904
"2010-02-24","SBIN","EQ",1911.9,1906,1930,1900,1922.35,1921.25,1917.49,817359,156727660950000,,288159,0.3525
"2010-02-25","SBIN","EQ",1921.25,1925,1930,1903.4,1923,1913.65,1914.34,2161596,413802828025000,,1244356,0.5757
"2010-02-26","SBIN","EQ",1913.65,1925,2032,1915,1968,1974.3,1980.47,4321519,855862151120000,,1840691,0.4259
"2010-03-02","SBIN","EQ",1974.3,1990.55,2011,1974.2,1988,1986.65,1993.77,1934735,385741985585000,,969354,0.501
"2010-03-03","SBIN","EQ",1986.65,1989.1,2025.9,1989.1,2022.15,2022.4,2014.05,1584368,319098948705000,,644887,0.407
"2010-03-04","SBIN","EQ",2022.4,2023,2044.7,2012,2032.3,2032.7,2033.25,1430107,290776170625000,,564980,0.3951
"2010-03-05","SBIN","EQ",2032.7,2045,2059,2021.1,2044,2047.2,2043.33,1268507,259198051285000,,424602,0.3347
"2010-03-08","SBIN","EQ",2047.2,2060,2112.5,2033.1,2064.5,2065.95,2080.24,3866479,804321455745000,,1002428,0.2593
"2010-03-09","SBIN","EQ",2065.95,2032.55,2078,2032.55,2044,2044.6,2054.72,1430528,293933651145000,,557080,0.3894
